 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
112,GFP_colonies:0112-2443,2053,0.0000,0,0,2463.0826,2443.8463,2438,2418,50,51,0.0000,0.0000,1,1
113,GFP_colonies:0113-2492,1589,0.0000,0,0,2621.0230,2492.5195,2600,2469,41,47,0.0000,0.0000,1,1
114,GFP_colonies:0114-2494,1329,0.0000,0,0,2658.4661,2494.0455,2642,2472,35,44,0.0000,0.0000,1,1
115,GFP_colonies:0115-2499,1827,0.0000,0,0,2047.7020,2499.4661,2024,2475,47,49,0.0000,0.0000,1,1
116,GFP_colonies:0116-2502,2243,0.0000,0,0,2254.3132,2501.5236,2227,2475,54,54,0.0000,0.0000,1,1
117,GFP_colonies:0117-2506,2236,182.1266,0,255,2926.3384,2502.5376,2904,2480,57,53,407235.0000,407235.0000,1,2
118,GFP_colonies:0118-2505,1992,0.0000,0,0,3496.0146,2505.2018,3470,2480,52,51,0.0000,0.0000,1,1
119,GFP_colonies:0119-2511,1008,0.0000,0,0,1293.4802,2512.5327,1275,2490,35,43,0.0000,0.0000,1,1
120,GFP_colonies:0120-2593,2058,0.0000,0,0,2773.5471,2592.5836,2748,2567,52,52,0.0000,0.0000,1,1
121,GFP_colonies:0121-2600,2126,0.0000,0,0,2459.3796,2600.4581,2433,2575,52,51,0.0000,0.0000,1,1
122,GFP_colonies:0122-2592,449,0.0000,0,0,1421.9633,2591.9944,1409,2578,24,29,0.0000,0.0000,1,1
123,GFP_colonies:0123-2649,2144,0.0000,0,0,2674.5854,2648.6866,2648,2623,54,52,0.0000,0.0000,1,1
124,GFP_colonies:0124-2649,2159,0.0000,0,0,2863.6260,2648.9826,2837,2623,53,52,0.0000,0.0000,1,1
125,GFP_colonies:0125-2648,1758,0.0000,0,0,3437.7457,2648.2998,3413,2624,49,48,0.0000,0.0000,1,1
126,GFP_colonies:0126-2675,2324,185.4346,0,255,3264.2473,2671.2243,3241,2648,58,55,430950.0000,430950.0000,1,2
127,GFP_colonies:0127-2698,1779,0.0000,0,0,3408.2538,2698.7597,3385,2674,47,48,0.0000,0.0000,1,1
128,GFP_colonies:0128-2757,3946,208.3426,0,255,2462.7624,2757.6864,2419,2713,87,89,822120.0000,822120.0000,1,2
129,GFP_colonies:0129-2719,118,0.0000,0,0,2637.2627,2718.8814,2631,2713,13,12,0.0000,0.0000,1,1
130,GFP_colonies:0130-2733,685,0.0000,0,0,3804.5000,2732.7467,3789,2718,30,30,0.0000,0.0000,1,1
131,GFP_colonies:0131-2757,2390,0.0000,0,0,3648.2569,2756.8711,3620,2729,56,56,0.0000,0.0000,1,1
132,GFP_colonies:0132-2801,1585,0.0000,0,0,2358.2104,2801.7965,2336,2769,44,65,0.0000,0.0000,1,1
133,GFP_colonies:0133-2805,2352,0.0000,0,0,3241.8469,2805.2347,3214,2778,55,55,0.0000,0.0000,1,1
134,GFP_colonies:0134-2820,1934,0.0000,0,0,3486.5274,2819.9467,3462,2795,48,50,0.0000,0.0000,1,1
135,GFP_colonies:0135-2824,918,0.0000,0,0,3537.0349,2824.6939,3521,2806,32,37,0.0000,0.0000,1,1
136,GFP_colonies:0136-2885,2187,180.3772,0,255,3373.1464,2880.9674,3351,2859,57,52,394485.0000,394485.0000,1,2
137,GFP_colonies:0137-2895,2008,0.0000,0,0,3547.9029,2894.9940,3522,2870,51,50,0.0000,0.0000,1,1
138,GFP_colonies:0138-2958,2349,176.2963,0,255,3482.9427,2954.0228,3460,2932,58,53,414120.0000,414120.0000,1,2
139,GFP_colonies:0139-3066,109,0.0000,0,0,2982.8303,3065.9312,2976,3060,14,12,0.0000,0.0000,1,1
140,GFP_colonies:0140-3744,560,0.0000,0,0,1248.6661,3743.5518,1232,3733,35,22,0.0000,0.0000,1,1
141,GFP_colonies:0141-3752,399,0.0000,0,0,2119.0238,3751.7180,2108,3740,21,25,0.0000,0.0000,1,1
142,GFP_colonies:0142-3875,433,0.0000,0,0,1111.2159,3876.1998,1100,3858,20,34,0.0000,0.0000,1,1
